colleges,addresses,title,company,resumes,link,location,lastnames,firstnames,preview,zipcodes
"[2, 0, 3, 1]","[18, 0, 5, 16]","

Inside Sales Manager

","
ClientLoyalty
 ","[3, 2, 7, 0]",http://jobview.monster.com/Inside-Sales-Manager-Job-Chicago-IL-US-163016584.aspx?mescoid=4100666001001&jobPosition=1,"

    Chicago, IL
 ","[2, 0, 3, 5]","[0, 7, 3, 6]","
                        Overview

Are you great at finding leads, making calls, and conveying a value proposition?  Do you have a talent for overcoming sales challenges and building a business case to purchase innovative technology solutions?  If so, this may be the fit fo......
                    ","[14, 9, 4, 6]"
"[3, 1, 2, 0]","[16, 12, 2, 7]","

Sales Business Intelligence Manager

","
Heineken USA Inc.
 ","[4, 7, 5, 0]",http://jobview.monster.com/Sales-Business-Intelligence-Manager-Job-CHICAGO-IL-US-164453036.aspx?mescoid=1100011001001&jobPosition=2,"

    CHICAGO, IL
 ","[4, 2, 6, 7]","[2, 7, 1, 8]","
                        About HEINEKEN USA
 HEINEKEN USA Inc., the nations leading upscale beer importer, is a subsidiary of Heineken International NV, the worlds most international brewer. European brands imported into the U.S. include Heineken, the worlds most intern......
                    ","[17, 3, 13, 1]"
"[0, 2, 3, 1]","[12, 3, 10, 11]","

Assistant Branch Manager (Outside Sales/Manager Trainee)

","
XTRA Lease
 ","[7, 0, 6, 5]",http://jobview.monster.com/Assistant-Branch-Manager-Outside-Sales-Manager-Trainee-Job-Rosemont-IL-US-164471077.aspx?mescoid=4100666001001&jobPosition=3,"

    Rosemont, IL
 ","[5, 8, 1, 7]","[6, 4, 7, 0]","
                        Assistant Branch Manager Job Posting

Our Assistant Branch Manager position could be just the spot to start your career with XTRA Lease. If you have a college degree, a passion for helping customers, and two to three years of outside sales experienc......
                    ","[16, 15, 17, 11]"
"[1, 0, 3, 2]","[1, 7, 10, 3]","

Sales Director

","
Lifestyle Publications
  ","[1, 5, 2, 6]",http://jobview.monster.com/Sales-Director-Job-Tinley-Park-IL-US-165253648.aspx?mescoid=1100008001001&jobPosition=4,"

    Tinley Park, IL
 ","[7, 2, 3, 1]","[2, 6, 7, 1]","
                        Lifestyle Publications is seeking highly motivated, sales background individuals to launch and run their own businesses within their local community. 

This is a chance for you to own, run and grow your own business as a Sales Director. Our Sales Di......
                    ","[6, 11, 7, 0]"
"[2, 3, 1, 0]","[10, 13, 1, 4]","

Sales Rep

","
Company Confidential
","[3, 1, 6, 2]",http://jobview.monster.com/Sales-Rep-Job-Chicago-IL-US-164910397.aspx?mescoid=4100683001001&jobPosition=5,"

    Chicago, IL
 ","[3, 5, 6, 1]","[8, 4, 1, 7]","
                        ESSENTIAL QUALIFICATIONS:

 
- 2-3 years of experience in a similar       sales role, with demonstrated ability to qualify sales opportunities.       Experience in the events, training, consulting or IT industry preferred
- Entrepreneurial; a self s......
                    ","[3, 10, 11, 0]"
"[3, 1, 2, 0]","[2, 5, 11, 13]","

Outside Sales Account Manager

","
Action Resources
 ","[7, 0, 4, 5]",http://jobview.monster.com/Outside-Sales-Account-Manager-Job-Gary-IN-US-164216941.aspx?mescoid=4100683001001&jobPosition=6,"

    Gary, IN
 ","[8, 0, 3, 1]","[6, 3, 8, 1]","
                        JOB SUMMARY:

The Sales Account Manager will sell transportation services to business and industrial establishments in the environmental and chemical industry. Qualified candidates should have a minimum of two years of sales experience in bulk and r......
                    ","[8, 7, 2, 4]"
"[3, 0, 2, 1]","[11, 4, 12, 0]","

Retail Car Sales Manager - Various Dealerships

","
The Hertz Corporation
 ","[1, 0, 2, 5]",http://jobview.monster.com/Retail-Car-Sales-Manager-Various-Dealerships-Job-Chicago-IL-US-165053087.aspx?mescoid=4100671001001&jobPosition=7,"

    Chicago, IL
 ","[6, 3, 8, 4]","[0, 4, 6, 7]","
                        General Responsibilities:




Hertz Car Sales is one of the fastest growing dealer groups in the country.  Our rapid growth is fueled by large volume selling of the Hertz fleet creating an amazing opportunity for the right individual. If you are tir......
                    ","[1, 10, 13, 14]"
"[2, 3, 0, 1]","[13, 4, 11, 6]","

Sales Representative

","
Uline
 ","[1, 6, 4, 0]",http://jobview.monster.com/Sales-Representative-Job-Chicago-IL-US-161936732.aspx?mescoid=4100683001001&jobPosition=8,"

    Chicago, IL
 ","[2, 0, 3, 1]","[2, 1, 3, 8]","
                        Sales Representative

 


 Uline  Shipping Supply Specialists 

 

""The people I work with are as passionate as I am."" 

""I came to Uline for a job. Instead, I found a career.""

 

Uline is North America's leading distributor of shipping, packaging......
                    ","[15, 16, 4, 9]"
"[1, 2, 3, 0]","[16, 9, 6, 5]","

Territory Sales Manager

","
Solid Gold
 ","[2, 1, 0, 4]",http://jobview.monster.com/Territory-Sales-Manager-Job-Schaumburg-US-163934925.aspx?mescoid=4100666001001&jobPosition=9,"

    Schaumburg, IL
 ","[0, 5, 4, 3]","[0, 2, 5, 3]","
                        Solid Gold Territory Sales Representative 

Territory:  Illinois, Wisconsin & Minnesota 

Responsibilities include:
- Becoming an industry leading and Solid Gold pet nutrition expert.
- Increasing sales and building brand recognition by actively pro......
                    ","[16, 1, 15, 12]"
"[1, 2, 3, 0]","[17, 0, 18, 7]","

Sales Representative

","
Pharmaceutical/Biotech IL
 ","[4, 1, 6, 2]",http://jobview.monster.com/Sales-Representative-Job-Chicago-IL-US-165111639.aspx?mescoid=4100683001001&jobPosition=10,"

    Chicago, IL
 ","[7, 4, 1, 8]","[4, 3, 6, 0]","
                        Summary



This Sales Representative opportunity plays a critical strategic role in analyzing and acquiring targeted sales for technical healthcare products and services in a local territory. As a Sales Rep you will provide focused sales tactics to ......
                    ","[7, 16, 8, 4]"
